SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1403 W Hickory Ln,Bloomington,IN,47404,105000,2,1.0,,824,28750,1938,24,127,,Active,,,https://www.redfin.com/IN/Bloomington/1403-W-Hickory-Ln-47404/home/136376811,IRMLS,202334580,N,Y,39.185768,-86.553214
MLS Listing,,Vacant Land,00 S Harmony Rd,Bloomington,IN,47403,1,,,,,1595603,,24,,,Active,,,https://www.redfin.com/IN/Bloomington/S-Harmony-Rd-47403/home/136323659,IRMLS,202334555,N,Y,39.085334,-86.636048
MLS Listing,,Single Family Residential,5530 S Harmony Rd,Bloomington,IN,47403,1,2,1.0,,1408,144184,1961,24,0,,Active,October-15-2023 02:00 PM,October-15-2023 02:30 PM,https://www.redfin.com/IN/Bloomington/5530-S-Harmony-Rd-47403/home/187624317,IRMLS,202334553,N,Y,39.0984074,-86.6391838
MLS Listing,,Condo/Co-op,9724 S Bay Pointe Ln,Bloomington,IN,47401,220000,2,2.0,Pointe Bay Pointe,1078,,1987,24,204,244,Active,,,https://www.redfin.com/IN/Bloomington/9724-S-Bay-Pointe-Ln-47401/home/136296228,IRMLS,202334521,N,Y,39.026632,-86.505411
MLS Listing,,Single Family Residential,320 S Eastside Dr,Bloomington,IN,47401,750000,4,2.0,Southeast Bloomington City,3656,12197,1936,24,205,,Active,,,https://www.redfin.com/IN/Bloomington/320-S-Eastside-Dr-47401/home/136598316,IRMLS,202334459,N,Y,39.1634613,-86.513491
MLS Listing,,Vacant Land,1710 E Mel Currie (lot 2) Rd,Bloomington,IN,47408,159000,,,,,138521,,24,,,Active,,,https://www.redfin.com/IN/Bloomington/1710-E-Mel-Currie-Rd-47408/home/143919771,IRMLS,202334441,N,Y,39.2366118,-86.517323
MLS Listing,,Vacant Land,1888 E Mel Currie (lot 1) Rd,Bloomington,IN,47408,139000,,,,,125017,,24,,,Active,,,https://www.redfin.com/IN/Bloomington/1888-E-Mel-Currie-Rd-47408/home/136489747,IRMLS,202334440,N,Y,39.2353055,-86.5187751
MLS Listing,,Vacant Land,1722 E Mel Currie (lot 4) Rd,Bloomington,IN,47408,199000,,,,,182516,,24,,,Active,,,https://www.redfin.com/IN/Bloomington/1722-E-Mel-Currie-Rd-47408/home/143919773,IRMLS,202334439,N,Y,39.2365333,-86.5171817
MLS Listing,,Vacant Land,1716 E Mel Currie (lot 3) Rd,Bloomington,IN,47408,179000,,,,,186001,,24,,,Active,,,https://www.redfin.com/IN/Bloomington/1716-E-Mel-Currie-Rd-47408/home/143919772,IRMLS,202334438,N,Y,39.2365725,-86.5172523
MLS Listing,,Single Family Residential,2745 S Pine Meadows Dr,Bloomington,IN,47403,236000,3,1.5,Southern Pines,1116,12153,1996,25,211,,Active,,,https://www.redfin.com/IN/Bloomington/2745-S-Pine-Meadows-Dr-47403/home/136542049,MIBOR as Distributed by MLS Grid,21944541,N,Y,39.1367519,-86.5491991
